university,course,ucas_code,alevel_grades,ib_points_raw
University College London,Romanian And Serbian/Croatian,R7RC,ABB,34 points
University College London,Romanian And Spanish,R7OR,AAB,36 points
University College London,Romanian And Swedish,R7OW,ABB,34 points
University College London,Romanian And Ukrainian,R7OU,ABB,34 points
University College London,Romanian And Yiddish,RR0Y,ABB,34 points
University College London,Russian And Portuguese,R5RU,ABB,34 points
University College London,Russian And Serbian/Croatian,R7SR,ABB,34 points
University College London,Russian And Spanish,R7US,AAB,36 points
University College London,Russian And Swedish,R7RW,ABB,34 points
University College London,Russian And Ukrainian,R7UK,ABB,34 points
University College London,Russian And Yiddish,RRUY,ABB,
University College London,Scandinavian Studies And English,R6Q3,AAA,38 points
University College London,Scandinavian Studies And History Of Art,R6V3,ABB,34 points
University College London,Scandinavian Studies And Latin,R6Q6,ABB,34 points
University College London,Scandinavian Studies And Philosophy,R6V5,AAB,36 points
University College London,Scandinavian Studies With Film Studies,R6P3,ABB,34 points
University College London,Scandinavian Studies With Management Studies,R6N2,AAB,36 points
University College London,Science And Engineering For Social Change With Integrated Foundation Year Bsc,FY27,,
University College London,Serbian/Croatian And Portuguese,R7R5,ABB,34 points
University College London,Serbian/Croatian And Spanish,R7R4,AAB,36 points
University College London,Serbian/Croatian And Swedish,R7R6,ABB,34 points
University College London,Serbian/Croatian And Ukrainian,R7SU,ABB,34 points
University College London,Serbian/Croatian And Yiddish,R7RY,ABB,34 points
University College London,Spanish And Latin,R4Q6,AAB,36 points
University College London,Spanish And Philosophy,R4V5,AAA,38 points
University College London,Spanish And Portuguese,R5R4,ABB,34 points
University College London,Spanish And Swedish,R4R6,ABB,34 points
University College London,Spanish And Ukrainian,R4R7,AAB,36 points
University College London,Spanish And Yiddish,R4R9,ABB,34 points
University College London,Spanish With Film Studies,R4P3,ABB,34 points
University College London,Spanish With Management Studies,R4N2,AAB,36 points
University College London,"Sustainable Built Environments, Energy And Resources",K300,AAA,38 points
University College London,Swedish And Portuguese,R6SP,ABB,34 points
University College London,Swedish And Yiddish,R6SY,ABB,34 points
University College London,Ukrainian And Portuguese,R7UP,ABB,34 points
University College London,Ukrainian And Swedish,R7UW,ABB,34 points
University College London,Ukrainian And Yiddish,R7UY,ABB,34 points
King's College London,Artificial Intelligence,G700,A*A*A,39 points
King's College London,Artificial Intelligence And Philosophy,G704,A*AA,38 points
King's College London,Artificial Intelligence And Philosophy With A Year Abroad,G705,A*AA,38 points
King's College London,Artificial Intelligence With A Year In Industry,G702,A*A*A,39 points
King's College London,Data Analytics For Business And Finance,N210,A*AA,38 points
King's College London,Data Analytics For Business And Finance With Year In Industry,N211,A*AA,38 points
King's College London,Dental Therapy And Hygiene,A900,BBB,32 points
King's College London,English Law And Australian Law,M124,A*AA,38 points
King's College London,General Engineering,H100,AAA,36 points
King's College London,Natural Sciences,CFG0,AAA,36 points
